session_id	session_order	acq_time
cathodalpost	1	2015-05-12T18:06:43
cathodalpre	1	2015-05-12T17:19:08
cathodaltDCS	1	2015-05-12T17:44:14
anodalpost	2	2015-05-18T17:55:41
anodalpre	2	2015-05-18T17:04:44
anodaltDCS	2	2015-05-18T17:29:30
