session_id	session_order	acq_time
anodalpost	1	2015-05-08T11:39:48
anodalpre	1	2015-05-08T10:55:13
anodaltDCS	1	2015-05-08T11:17:09
cathodalpost	2	2015-05-15T11:36:42
cathodalpre	2	2015-05-15T10:49:15
cathodaltDCS	2	2015-05-15T11:14:31
