session_id	session_order	acq_time
cathodalpost	1	2016-03-30T16:47:33
cathodalpre	1	2016-03-30T15:57:59
cathodaltDCS	1	2016-03-30T16:24:32
anodalpost	2	2016-04-04T11:42:44
anodalpre	2	2016-04-04T10:54:04
anodaltDCS	2	2016-04-04T11:19:37
