session_id	session_order	acq_time
cathodalpost	1	2016-03-09T12:16:32
cathodalpre	1	2016-03-09T11:18:13
cathodaltDCS	1	2016-03-09T11:43:57
anodalpost	2	2016-03-15T17:04:05
anodalpre	2	2016-03-15T16:11:58
anodaltDCS	2	2016-03-15T16:37:56
