session_id	session_order	acq_time
cathodalpost	1	2015-05-19T11:38:06
cathodalpre	1	2015-05-19T10:46:20
cathodaltDCS	1	2015-05-19T11:13:27
anodalpost	2	2015-05-26T11:28:27
anodalpre	2	2015-05-26T10:37:10
anodaltDCS	2	2015-05-26T11:04:41
