session_id	session_order	acq_time
anodalpost	1	2016-05-06T12:11:22
anodalpre	1	2016-05-06T11:21:18
anodaltDCS	1	2016-05-06T11:46:03
cathodalpost	2	2016-05-13T11:55:13
cathodalpre	2	2016-05-13T11:08:43
cathodaltDCS	2	2016-05-13T11:33:17
