session_id	session_order	acq_time
anodalpost	1	2015-04-07T17:01:58
anodalpre	1	2015-04-07T16:14:07
anodaltDCS	1	2015-04-07T16:37:44
		
cathodalpre	2	2015-04-14T15:25:54
cathodaltDCS	2	2015-04-14T15:47:13
