session_id	session_order	acq_time
anodalpost	1	2016-04-26T16:47:11
anodalpre	1	2016-04-26T15:59:22
anodaltDCS	1	2016-04-26T16:24:31
cathodalpost	2	2016-05-03T16:27:13
cathodalpre	2	2016-05-03T15:38:28
cathodaltDCS	2	2016-05-03T16:04:06
