session_id	session_order	acq_time
anodalpost	1	2015-03-02T11:49:41
anodalpre	1	2015-03-02T10:57:41
anodaltDCS	1	2015-03-02T11:26:01
cathodalpost	2	2015-03-09T11:43:50
cathodalpre	2	2015-03-09T10:53:52
cathodaltDCS	2	2015-03-09T11:21:17
